#127.0.0.1 localhost
127.0.0.1 localhost
127.0.0.1 localhost.localdomain
0.0.0.0 local
255.255.255.255 broadcasthost
::1 localhost
::1 ip6-localhost
::1 ip6-loopback
fe80::1%lo0 localhost
ff00::0 ip6-localnet
ff00::0 ip6-mcastprefix
ff02::1 ip6-allnodes
ff02::2 ip6-allrouters
ff02::3 ip6-allhosts
0.0.0.0 0.0.0.0


0.0.0.0 .cn
0:0:0:0:0:ffff:cbcd:8v4f .cn
0.0.0.0 .qq.com
0:0:0:0:0:ffff:857f:a4da .qq.com
0.0.0.0 .cnzz.com
0:0:0:0:0:ffff:cf55:c9ae .cnzz.com
0.0.0.0 .akamaized.net
0:0:0:0:0:ffff:cbcd:9a4f .akamaized.net
0.0.0.0 .proximabeta.com
0:0:0:0:0:ffff:857f:a1ca .proximabeta.com
0.0.0.0 .pubgmobile.com
0:0:0:0:0:ffff:cf55:c0be .pubgmobile.com
0.0.0.0 .gclouds.com
0:0:0:0:0:ffff:cbcd:8j4f .gclouds.com
0.0.0.0 .tencent.com
0:0:0:0:0:ffff:857f:a0ca .tencent.com
0.0.0.0 .helpshift.com
0:0:0:0:0:ffff:cf55:c3be .helpshift.com
0.0.0.0 platform-lookaside.fbsbx.com
0:0:0:0:0:ffff:cbcd:8f4f platform-lookaside.fbsbx.com
0.0.0.0 .userapi.com
0:0:0:0:0:ffff:857f:a6ca .userapi.com
0.0.0.0 graph.facebook.com
0:0:0:0:0:ffff:cf55:o0be graph.facebook.com
0.0.0.0 .weiyun.com
0:0:0:0:0:ffff:cbcd:6a4f .weiyun.com
0.0.0.0 scgt.reverse.com
0:0:0:0:0:ffff:857f:a2ca scgt.reverse.com
0.0.0.0 app.adjust.com
0:0:0:0:0:ffff:cf55:c1be app.adjust.com
0.0.0.0 .766xqwx.com
0:0:0:0:0:ffff:cbcd:0y4f .766xqwx.com
0.0.0.0 .actencent.com
0:0:0:0:0:ffff:857f:d9ca .actencent.com
0.0.0.0 .bqqpx.com
0:0:0:0:0:ffff:cf55:c7be .bqqpx.com
0.0.0.0 .cftres.com
0:0:0:0:0:ffff:cbcd:7b4f .cftres.com
0.0.0.0 .igcdn.cn
0:0:0:0:0:ffff:857f:i8ca .igcdn.cn
0.0.0.0 .imqq.cn
0:0:0:0:0:ffff:cf55:n8be .imqq.cn


0.0.0.0 report.syzs.qq.com
0.0.0.0 sy.guanjia.qq.com
0.0.0.0 receiver.sg.tdm.qq.com
0.0.0.0 cdn.wetest.qq.com
0.0.0.0 vmp.qq.com
0.0.0.0 csoversea.mbgame.gamesafe.qq.com
0.0.0.0 android.bugly.qq.com
0.0.0.0 api.phenixos.com
0.0.0.0 www.pubgmobile.com
0.0.0.0 graph.facebook.com
0.0.0.0 platform-lookaside.fbsbx.com
0.0.0.0 scgt.reverse.com
0.0.0.0 rpgohsnmh.com
0.0.0.0 pay.igamecj.com
0.0.0.0 hkspeed.igamecj.com
0.0.0.0 app.adjust.com
0.0.0.0 pay.igamecj.com
0.0.0.0 hkspeed.igamecj.com
127.0.0.1 0.0.0.1
127.0.0.1 cdn.wetest.qq.com
127.0.0.1 hkconfig.gcloud.qq.com
127.0.0.1 dlied2.qq.com
127.0.0.1 dlied3.qq.com
127.0.0.1 dlied4.qq.com
127.0.0.1 dlied5.qq.com
127.0.0.1 dlied6.qq.com
127.0.0.1 strategy.beacon.qq.com
127.0.0.1 mailauth-reports@qq.com
127.0.0.1 log.tbs.qq.com
127.0.0.1 logs.game.qq.com
127.0.0.1 soft.tbs.imtt.qq.com
127.0.0.1 cfg.imtt.qq.com
127.0.0.1 appsupport.qq.com
127.0.0.1 tpns.qq.com
127.0.0.1 szmg.qq.com
127.0.0.1 www.qq.com
127.0.0.1 mtp.qq.com
127.0.0.1 mta.qq.com
127.0.0.1 vmp.qq.com
127.0.0.1 ns4.qq.com
127.0.0.1 ns3.qq.com
127.0.0.1 ns2.qq.com
127.0.0.1 ns1.qq.com
127.0.0.1 mx3.qq.com
127.0.0.1 mx2.qq.com
127.0.0.1 mx1.qq.com
127.0.0.1 xw.qq.com
127.0.0.1 webmaster.qq.com
127.0.0.1 spf.mail.qq.com
127.0.0.1 app.qq.com
127.0.0.1 mail.qq.com
127.0.0.1 shop.qq.com
127.0.0.1 www.pubgmobile.qq.com
127.0.0.1 tencent.games.qq.zxc.yt
127.0.0.1 tencent.games.qq.zxc.re
127.0.0.1 dlied1.qq.com
127.0.0.1 cdn.wetest.qq.com
127.0.0.1 cs.mbgame.gamesafe.qq.com
127.0.0.1 pingmid.qq.com
127.0.0.1 mta.qq.com
127.0.0.1 hkconfig.gcloud.qq.com
127.0.0.1 vmp.qq.com
127.0.0.1 172.104.163.233
127.0.0.1 dlied1.tcdn.qq.com
127.0.0.1 dlied2.tcdn.qq.com
127.0.0.1 dlied3.tcdn.qq.com
127.0.0.1 dlied4.tcdn.qq.com
127.0.0.1 dlied5.tcdn.qq.com
127.0.0.1 dlied6.tcdn.qq.com
127.0.0.1 down.qq.com
127.0.0.1 dlied1.qq.com
127.0.0.1 dlied1.qq.com
127.0.0.1 pingmid.qq.com
127.0.0.1 mta.qq.com
127.0.0.1 vmp.qq.com
127.0.0.1 cdn.watest.qq.com
127.0.0.1 hkconfig.gcloud.qq.com
127.0.0.1 cs.mbgame.gamesafe.qq.com
127.0.0.1 oth.eve.mdt.qq.com
127.0.0.1 idcconfig.gcloud.qq.com
127.0.0.1 logs.game.qq.com
127.0.0.1 szmg.qq.com
127.0.0.1 www.qq.com
127.0.0.1 ns3.qq.com
127.0.0.1 ns2.qq.com
127.0.0.1 ns1.qq.com
127.0.0.1 app.qq.com
127.0.0.1 mail.qq.com
127.0.0.1 shop.qq.com
127.0.0.1 172.104.163.233
127.0.0.1 pingma.qq.com:80
127.0.0.1 oth.eve.mdt.qq.com:8080
127.0.0.1 android.bugly.qq.com
127.0.0.1 cloud.gsdk.proximabeta.com:18081
127.0.0.1 dlied1.tcdn.qq.com
127.0.0.1 dlied2.tcdn.qq.com
127.0.0.1 dlied3.tcdn.qq.com
127.0.0.1 dlied4.tcdn.qq.com
127.0.0.1 dlied5.tcdn.qq.com
127.0.0.1 dlied6.tcdn.qq.com
127.0.0.1 down.qq.com
127.0.0.1 dlied1.qq.com
127.0.0.1 dlied1.qq.com
127.0.0.1 pingmid.qq.com
127.0.0.1 mta.qq.com
127.0.0.1 vmp.qq.com
127.0.0.1 cdn.watest.qq.com
127.0.0.1 hkconfig.gcloud.qq.com
132.232.173.220 cs.mbgame.gamesafe.qq.com
132.232.173.228 oth.eve.mdt.qq.com
127.0.0.1 idcconfig.gcloud.qq.com
127.0.0.1 logs.game.qq.com
127.0.0.1 szmg.qq.com
127.0.0.1 www.qq.com
127.0.0.1 ns3.qq.com
127.0.0.1 ns2.qq.com
127.0.0.1 ns1.qq.com
127.0.0.1 app.qq.com
127.0.0.1 mail.qq.com
127.0.0.1 shop.qq.com
127.0.0.1 172.104.163.233
127.0.0.1 pingma.qq.com:80
127.0.0.1 oth.eve.mdt.qq.com:8080
127.0.0.1 android.bugly.qq.com
127.0.0.1 cloud.gsdk.p
127.0.0.1 down.qq.com
127.0.0.1 dlied1.qq.com
127.0.0.1 223.167.86.33
127.0.0.1 com.tencent.ig
127.0.0.1 com.tencent.tmgp.cf
127.0.0.1 ocsp2.globalsign.com
127.0.0.1 bootcss.com
127.0.0.1 ns-open1.qq.com
132.232.197.88 pingma.qq.com
127.0.0.1 android.bugly.qq.com
127.0.0.1 commdata.v.qq.com
127.0.0.1 clientreport.gfm.qq.com
127.0.0.1 3gimg.qq.com
127.0.0.1 4g.qq.com
127.0.0.1 cdn.read.html5.qq.com
127.0.0.1 113.17.231.235 
127.0.0.1 statistic.3g.qq.com
127.0.0.1 quan.qq.com
127.0.0.1 202.100.176.225
127.0.0.1 gp.3g.qq.com
127.0.0.1 dlied1.tcdn.qq.com
127.0.0.1 dlied2.tcdn.qq.com
127.0.0.1 dlied3.tcdn.qq.com
127.0.0.1 dlied4.tcdn.qq.com
127.0.0.1 dlied5.tcdn.qq.com
127.0.0.1 dlied6.tcdn.qq.com
132.232.173.220 cs.mbgame.gamesafe.qq.com
132.232.173.228 oth.eve.mdt.qq.com
127.0.0.1 cdn.wetest.qq.com
127.0.0.1 hkconfig.gcloud.qq.com
127.0.0.1 dlied2.qq.com
127.0.0.1 dlied3.qq.com
127.0.0.1 dlied4.qq.com
127.0.0.1 dlied5.qq.com
127.0.0.1 dlied6.qq.com
127.0.0.1 strategy.beacon.qq.com
127.0.0.1 mailauth-reports@qq.com
127.0.0.1 log.tbs.qq.com
127.0.0.1 logs.game.qq.com
127.0.0.1 soft.tbs.imtt.qq.com
127.0.0.1 cfg.imtt.qq.com
127.0.0.1 appsupport.qq.com
127.0.0.1 tpns.qq.com
127.0.0.1 szmg.qq.com
127.0.0.1 www.qq.com
127.0.0.1 mtp.qq.com
127.0.0.1 mta.qq.com
127.0.0.1 vmp.qq.com
127.0.0.1 ns4.qq.com
127.0.0.1 ns3.qq.com
127.0.0.1 ns2.qq.com
127.0.0.1 ns1.qq.com
127.0.0.1 mx3.qq.com
127.0.0.1 mx2.qq.com
127.0.0.1 mx1.qq.com
127.0.0.1 xw.qq.com
127.0.0.1 webmaster.qq.com
127.0.0.1 spf.mail.qq.com
127.0.0.1 app.qq.com
127.0.0.1 mail.qq.com
127.0.0.1 shop.qq.com
127.0.0.1 www.pubgmobile.qq.com
127.0.0.1 tencent.games.qq.zxc.yt
127.0.0.1 tencent.games.qq.zxc.re
127.0.0.1 180.163.26.39
127.0.0.1 0.0.0.1
127.0.0.1 240e:e1:a900:10::54
127.0.0.1 203.205.254.103
127.0.0.1 58.251.110.111
127.0.0.1 2402:4e00:8010::b0
127.0.0.1 2402:4e00:8010::b1
127.0.0.1 14.17.32.217
127.0.0.1 58.250.137.42
127.0.0.1 203.205.151.47
127.0.0.1 2402:4e00:8010::9e
127.0.0.1 0.0.0.1
127.0.0.1 0.0.0.1
127.0.0.1 101.89.19.165
127.0.0.1 157.255.246.101
127.0.0.1 183.3.226.207
127.0.0.1 14.18.180.36
127.0.0.1 121.51.160.100
127.0.0.1 123.151.66.78
127.0.0.1 203.205.177.41
127.0.0.1 119.29.29.229
127.0.0.1 112.60.1.69
127.0.0.1 183.192.201.116
127.0.0.1 58.251.139.157
127.0.0.1 0.0.0.1
127.0.0.1 203.205.128.168
127.0.0.1 203.205.128.169
127.0.0.1 219.133.41.245
127.0.0.1 0.0.0.1
127.0.0.1 203.205.219.228
127.0.0.1 61.135.157.245
127.0.0.1 0.0.0.1
127.0.0.1 0.0.0.1
127.0.0.1 10.237.156.13
127.0.0.1 0.0.0.1 
127.0.0.1 0.0.0.1
127.0.0.1 203.205.219.231
127.0.0.1 203.205.232.188
127.0.0.1 203.205.254.103
127.0.0.1 14.18.180.36
127.0.0.1 0.0.0.1
127.0.0.1 121.40.237.87
127.0.0.1 42.120.219.135
127.0.0.1 2401:b180:1:4::17
127.0.0.1 106.11.248.2
127.0.0.1 106.11.61.141
127.0.0.1 140.205.248.8
127.0.0.1 140.205.61.87
127.0.0.1 110.75.162.225
127.0.0.1 203.209.254.28
127.0.0.1 106.11.248.2
127.0.0.1 106.11.61.141
127.0.0.1 140.205.248.8
127.0.0.1 140.205.61.87
127.0.0.1 106.11.248.2
127.0.0.1 106.11.61.141
127.0.0.1 140.205.248.8
127.0.0.1 140.205.61.87
127.0.0.1 119.96.207.121
127.0.0.1 140.205.121.207
127.0.0.1 203.119.169.41
127.0.0.1 110.75.0.74
127.0.0.1 110.75.0.75
127.0.0.1 198.54.117.210
127.0.0.1 198.54.117.211
127.0.0.1 198.54.117.212
127.0.0.1 198.54.117.215
127.0.0.1 198.54.117.216
127.0.0.1 198.54.117.217
127.0.0.1 198.54.117.218
127.0.0.1 qbwup.imtt.qq.com
127.0.0.1 app.adjust.com
127.0.0.1 c.tdm.qq.com
127.0.0.1 119.28.109.187
127.0.0.1 oth.str.mdt.qq.com
127.0.0.1 filecdn.igamecj.com
127.0.0.1 182.254.116.117
127.0.0.1 app-measurement.com
127.0.0.1 oth.update.mdt.qq.com
127.0.0.1 gg-us-sdkapi.igamecj.com
127.0.0.1 ulogs.umengcloud.com
127.0.0.1 qos.hk.gcloudcs.com
127.0.0.1 150.109.17.238
127.0.0.1 150.109.12.174
127.0.0.1 150.109.13.130
127.0.0.1 sg.groot.gcloudcs.com
127.0.0.1 idcconfig.gcloud.qq.com
127.0.0.1 platform-lookaside.fbsbx.com
127.0.0.1 an.facebook.com
127.0.0.1 admin.appnext.com
127.0.0.1 global.appnext.com
127.0.0.1 tpns.qq.com
127.0.0.1 49.51.42.152
127.0.0.1 szmg.qq.com
127.0.0.1 192.168.43.1
127.0.0.1 140.207.69.43
127.0.0.1 119.28.109.187
127.0.0.1 132.232.173.220
127.0.0.1 119.28.109.187
127.0.0.1 pagead2.googlesyndication.com
127.0.0.1 apse-sstart.ludashi.com
127.0.0.1 static-content-1.smadex.com
127.0.0.1 filecdn.igamecj.com
127.0.0.1 182.254.116.117
127.0.0.1 dlied1.qq.com
127.0.0.1 211.152.128.71
127.0.0.1 vmp.qq.com
127.0.0.1 android.bugly.qq.com
127.0.0.1 file.igamecj.com
127.0.0.1 intldlgs.qq.com
127.0.0.1 pingma.qq.com
127.0.0.1 cs.mbgame.gamesafe.qq.com:10012
127.0.0.1 cloud.gsdk.proximabeta.com
127.0.0.1 mtp.qq.com
127.0.0.1 mta.qq.com
127.0.0.1 down.qq.com
127.0.0.1 dlied1.qq.com
127.0.0.1 crl.globalsign.com
127.0.0.1 ocsp2.globalsign.com
127.0.0.1 ns-cdn2.qq.com
0.0.0.0 tencentgames.helpshift.com
0.0.0.0 c.tdm.qq.com
0.0.0.0 hkspeed.igamecj.com
0.0.0.0 oth.eve.mdt.qq.com
0.0.0.0 qos.hk.gcloudcs.com
0.0.0.0 cloud.gsdk.proximabeta.com
0.0.0.0 connect.facebook.net
0.0.0.0 connect.facebook.net
0.0.0.0 graph.facebook.com
0.0.0.0 krping.igamecj.com
0.0.0.0 meping.igamecj.com
0.0.0.0 saping.igamecj.com
0.0.0.0 hkping.igamecj.com
0.0.0.0 .qq.com
0.0.0.0 euping.igamecj.com
0.0.0.0 naping.igamecj.com
0.0.0.0 googleads.g.doubleclick.net
0.0.0.0 csi.gstatic.com
0.0.0.0 lh3.googleusercontent.com
0.0.0.0 tpc.googlesyndication.com
0.0.0.0 pay.igamecj.com
0.0.0.0 idcconfig.gcloud.qq.com
0.0.0.0 app.adjust.com
0.0.0.0 .cnzz.com
0.0.0.0 napubgm.broker.tplay.qq.com
0.0.0.0 napubgm.broker.tplay.qq.com
0.0.0.0 file-igamecj.akamaized.net
0.0.0.0 file.igamecj.com
0.0.0.0 .akamaized.net
0.0.0.0 cs.mbgame.gamesafe.qq.com
0.0.0.0 download.2.1375135419.igame.gcloudcs.com
0.0.0.0 lobby.igamecj.com
0.0.0.0 .proximabeta.com
0.0.0.0 download.2.1375135419.igame.gcloudcs.com
0.0.0.0 download.2.1375135419.igame.gcloudcs.com
0.0.0.0 tpns.qq.com
0.0.0.0 pingma.qq.com
0.0.0.0 .pubgmobile.com
0.0.0.0 gg-us-sdkapi.igamecj.com
0.0.0.0 filecdn.igamecj.com
0.0.0.0 gg-us-notice.igamecj.com
0.0.0.0 vmp.qq.com
0.0.0.0 hkconfig.gcloud.qq.com
0.0.0.0 cdn.wetest.qq.com
0.0.0.0 .tencent.com
0.0.0.0 android.bugly.qq.com
0.0.0.0 oth.str.mdt.qq.com
0.0.0.0 tencentgames.helpshift.com
0.0.0.0 c.tdm.qq.com
0.0.0.0 hkspeed.igamecj.com
0.0.0.0 .helpshift.com
0.0.0.0 oth.eve.mdt.qq.com
0.0.0.0 qos.hk.gcloudcs.com
0.0.0.0 cloud.gsdk.proximabeta.com
0.0.0.0 connect.facebook.net
0.0.0.0 connect.facebook.net
0.0.0.0 graph.facebook.com
0.0.0.0 krping.igamecj.com
0.0.0.0 meping.igamecj.com
0.0.0.0 saping.igamecj.com
0.0.0.0 hkping.igamecj.com
0.0.0.0 euping.igamecj.com
0.0.0.0 naping.igamecj.com
0.0.0.0 googleads.g.doubleclick.net
0.0.0.0 csi.gstatic.com
0.0.0.0 lh3.googleusercontent.com
0.0.0.0 tpc.googlesyndication.com
0.0.0.0 pay.igamecj.com
0.0.0.0 idcconfig.gcloud.qq.com
0.0.0.0 app.adjust.com
0.0.0.0 napubgm.broker.tplay.qq.com
0.0.0.0 napubgm.broker.tplay.qq.com
0.0.0.0 file-igamecj.akamaized.net
0.0.0.0 file.igamecj.com
0.0.0.0 cs.mbgame.gamesafe.qq.com
0.0.0.0 download.2.1375135419.igame.gcloudcs.com
0.0.0.0 lobby.igamecj.com
0.0.0.0 download.2.1375135419.igame.gcloudcs.com
0.0.0.0 download.2.1375135419.igame.gcloudcs.com
0.0.0.0 tpns.qq.com
0.0.0.0 pingma.qq.com
0.0.0.0 gg-us-sdkapi.igamecj.com
0.0.0.0 filecdn.igamecj.com
0.0.0.0 gg-us-notice.igamecj.com
0.0.0.0 vmp.qq.com
0.0.0.0 hkconfig.gcloud.qq.com
0.0.0.0 cdn.wetest.qq.com
0.0.0.0 android.bugly.qq.com
0.0.0.0 oth.str.mdt.qq.com
127.0.0.1 dlied1.qq.com
127.0.0.1 cdn.wetest.qq.com
127.0.0.1 cs.mbgame.gamesafe.qq.com
127.0.0.1 pingmid.qq.com
127.0.0.1 mta.qq.com
127.0.0.1 hkconfig.gcloud.qq.com
127.0.0.1 vmp.qq.com
127.0.0.1 172.104.163.233
127.0.0.1 dlied1.tcdn.qq.com
127.0.0.1 dlied2.tcdn.qq.com
127.0.0.1 dlied3.tcdn.qq.com
127.0.0.1 dlied4.tcdn.qq.com
127.0.0.1 dlied5.tcdn.qq.com
127.0.0.1 dlied6.tcdn.qq.com
127.0.0.1 down.qq.com
127.0.0.1 dlied1.qq.com
127.0.0.1 dlied1.qq.com
127.0.0.1 pingmid.qq.com
127.0.0.1 mta.qq.com
127.0.0.1 vmp.qq.com
127.0.0.1 cdn.watest.qq.com
127.0.0.1 hkconfig.gcloud.qq.com
127.0.0.1 cs.mbgame.gamesafe.qq.com
127.0.0.1 oth.eve.mdt.qq.com
127.0.0.1 idcconfig.gcloud.qq.com
127.0.0.1 logs.game.qq.com
127.0.0.1 szmg.qq.com
127.0.0.1 www.qq.com
127.0.0.1 ns3.qq.com
127.0.0.1 ns2.qq.com
127.0.0.1 ns1.qq.com
127.0.0.1 app.qq.com
127.0.0.1 mail.qq.com
127.0.0.1 shop.qq.com
127.0.0.1 172.104.163.233
127.0.0.1 pingma.qq.com:80
127.0.0.1 oth.eve.mdt.qq.com:8080
127.0.0.1 android.bugly.qq.com
127.0.0.1 cloud.gsdk.proximabeta.com:18081
127.0.0.1 dlied1.tcdn.qq.com
127.0.0.1 dlied2.tcdn.qq.com
127.0.0.1 dlied3.tcdn.qq.com
127.0.0.1 dlied4.tcdn.qq.com
